origin_age_data_id,avg,cards,gender,merchants,txs
396,27.61929,15,F,22,28
396,16.79118,9,M,10,17
397,47.95683,52,F,85,126
397,75.53805,26,M,36,41
398,73.9788,66,F,77,117
398,58.22137,37,M,40,51
399,61.94914,52,F,64,81
399,57.809,20,M,24,30
400,78.44301,46,F,54,83
400,90.71098,25,M,31,41
401,87.62773,59,F,74,97
401,71.355,17,M,19,20
402,31.60758,20,F,26,33
402,16.56059,8,M,10,17
403,34.50906,69,F,77,106
403,40.92769,31,M,33,39
404,37.70244,67,F,84,123
404,68.24381,49,M,42,63
405,52.51634,106,F,113,202
405,33.66779,54,M,55,86
406,81.84398,66,F,81,108
406,49.47455,39,M,38,55
407,64.98557,55,F,53,79
407,92.53933,23,M,25,30
408,27.03788,17,F,26,33
408,29.48235,12,M,14,17
409,47.18854,63,F,93,130
409,45.26,42,M,52,72
410,64.08302,57,F,97,139
410,54.86833,23,M,26,36
411,75.28244,47,F,60,78
411,55.56945,35,M,39,55
412,133.68447,32,F,40,47
412,130.49067,18,M,24,30
413,72.42608,35,F,42,51
413,135.13444,22,M,18,27
414,18.6985,9,F,14,20
414,25.88,7,M,9,12
415,69.10331,65,F,90,118
415,36.64621,34,M,39,58
416,49.3794,129,F,151,248
416,61.65094,106,M,100,180
417,46.5607,56,F,91,128
417,33.78042,39,M,41,72
418,37.06524,12,F,18,21
418,40.47121,12,M,15,33
419,51.666,5,F,5,5
419,31.61167,4,M,5,6
420,34.35971,13,F,24,35
420,23.42333,3,M,3,3
421,40.18909,56,F,67,99
421,29.11538,37,M,56,80
422,49.18138,76,F,103,160
422,47.78081,53,M,62,99
423,68.46009,64,F,84,113
423,66.79422,34,M,30,45
424,108.95082,49,F,59,85
424,62.88588,26,M,27,34
425,42.75167,11,F,15,18
425,75.58357,11,M,13,14
426,42.37588,10,F,15,17
426,29.08417,8,M,9,12
427,47.27807,48,F,96,161
427,51.50671,39,M,57,70
428,101.08097,44,F,55,62
428,70.85296,50,M,73,98
429,64.2456,47,F,60,75
429,77.92636,28,M,39,44
430,75.94207,18,F,28,29
430,80.69765,18,M,29,34
431,212.15063,12,F,15,16
431,77.54211,12,M,17,19
432,36.79953,18,F,32,43
432,25.65,13,M,15,17
433,41.03294,63,F,85,126
433,45.77735,37,M,51,68
434,64.75293,60,F,67,99
434,43.56885,40,M,46,61
435,88.97467,48,F,67,92
435,97.25333,19,M,24,27
436,68.44618,47,F,66,89
436,109.67382,23,M,22,34
437,54.56,17,F,20,20
437,94.69615,18,M,19,26
438,20.70267,13,F,14,15
438,24.486,9,M,9,10
439,39.11617,58,F,74,115
439,27.2936,31,M,39,50
440,45.79264,79,F,92,144
440,67.12657,44,M,49,70
441,44.39833,87,F,83,144
441,54.68455,39,M,41,55
442,50.78034,71,F,66,116
442,87.28806,27,M,29,36
443,46.69524,50,F,47,84
443,54.10563,14,M,14,16
444,33.04455,13,F,18,22
444,33.313,9,M,8,10
445,43.05389,65,F,92,144
445,43.82789,46,M,54,71
446,67.52612,68,F,82,129
446,62.9854,39,M,50,63
447,68.37846,44,F,62,78
447,74.27762,33,M,38,42
448,71.64568,27,F,34,44
448,120.04611,12,M,14,18
449,65.72163,22,F,31,43
449,170.05714,5,M,7,7
450,19.25667,7,F,9,12
450,19.20636,7,M,6,11
451,45.53708,68,F,87,120
451,36.745,39,M,53,80
452,54.84634,52,F,80,93
452,65.37723,34,M,35,47
453,75.51743,34,F,54,70
453,54.75164,25,M,43,55
453,16.18,0,filtered,0,1
454,80.40391,32,F,37,46
454,89.69763,16,M,27,38
455,104.09263,32,F,34,38
455,110.59171,18,M,30,35
456,15.9704,7,M,13,25
456,12.2,0,filtered,0,5
457,36.81076,42,F,89,131
457,33.80606,17,M,29,33
458,60.07638,28,F,58,80
458,53.62114,30,M,34,44
459,51.53477,39,F,69,88
459,36.82742,30,M,47,62
460,60.86795,39,F,57,78
460,148.11667,19,M,27,30
461,107.19628,31,F,49,78
461,104.31067,13,M,13,15
462,24.96292,17,F,21,24
462,25.6675,3,M,4,4
463,36.29302,58,F,85,126
463,26.43869,43,M,62,99
464,41.99507,44,F,57,75
464,78.53292,41,M,53,65
465,52.9174,55,F,74,100
